Questions,Answers
who are you ?,I'm ChatBot Developed by amazing Team of Assuit FCI.
what is your name?,You can call me Blackbeauty CHatbot
what should I call you?,I'm ChatBot Developed by amazing Team of Assuit FCI.
whats your name?,I'm ChatBot Developed by Bakli and his amazing Team of Assuit FCI.
who was Earl Smythe?,Beauty’s Owner at EarlShall Park
Where were Gordon and John going?,",They were going on business."
"Why did Black Beauty like pulling the small carriage?,Because it was very light and easy to pull.",They were going on business.
How was the weather during the business trip?,It was raining and windy.
Why were the fields flooded with water?,Because it was raining.
What did Black Beauty have while Gordon was doing his work?,He had a good rest.
How did Black Beauty know that there was a real storm?,Because of the strong wind.
What fell across the road in front of them?,A big tree with a loud crash
"How were Gordon, John and Beauty Lucky?",The big tree didn’t fall on them.
Why couldn’t they go forward?,Because a tree was blocking their way.
Why did they have to a different way?,Because there was a big tree on the way.
Why did Black Beauty stop at the bridge?,Because he felt something was wrong.
What did Beauty think about the bridge?,"He thought it was not safe, but he couldn’t tell them"
What did the man near the bridge say?,He shouted that the bridge was broken.
What would happen if they tried to cross the bridge?,They would fall into the river.
Why did John thank the man?,Because he saved them.
Why did Gordon thank Black Beauty?,Because he saved them from falling into the river.
Why did they have to take another road for the second time?,Because the bridge was broken.
Why was Black Beauty pleased to be home?,Because he was safe and enjoyed food as he was tired.
What did Gordon and his wife decide to do?,They decided to visit some friends.
How far was it to Gordon friends’ home?,It was about sixty kilometers.
Who were pulling the carriage?,Black Beauty and Ginger.
Why did they often stop before reaching the town?,They stopped to stay for the night and to feed and brush the horses.
What was the young rider doing?,He was smoking a cigarette.
What cause the fire?,The Young rider’s cigarette.
Why was Ginger coughing?,Because the air was filled with smoke.
What frightened Beauty and the horses even more?,Because the man carrying the lantern was worried.
What stopped Black Beauty from being frightened?,Because John came and spoke softly and was gentle with them.
Who saved Ginger and How?,Black Beauty by calling out for her
What happened to the building when the fire became bigger?,The building collapsed.
Who came to put out the fire?,Some firefighters put it out after many hours.
Why do you think everyone was talking to John?,Because he was amazing and saved the horses.
"In Gordon friend’s opinion, What is one of the hardest things in life?",To move horses when there is a fire.
Where were Gordon and John going?,They were going on business.
Why did Black Beauty like pulling the small carriage?,Because it was very light and easy to pull.
How was the weather during the business trip?,It was raining and windy.
Why were the fields flooded with water? ,Because it was raining.
What did Black Beauty have while Gordon was doing his work?,He had a good rest.
How did Black Beauty know that there was a real storm?,Because of the strong wind.
What fell across the road in front of them?,A big tree with a loud crash.
"How were Gordon, John and Beauty Lucky?",The big tree didn’t fall on them.
Why couldn’t they go forward?,Because a tree was blocking their way.
Why did they have to a different way?,Because there was a big tree on the way.
Why did Black Beauty stop at the bridge?,Because he felt something was wrong.
What did Beauty think about the bridge?,"He thought it was not safe, but he couldn’t tell them. "
What did the man near the bridge say?,He shouted that the bridge was broken.
What would happen if they tried to cross the bridge?,They would fall into the river.
Why did John thank the man?,Because he saved them.
Why did Gordon thank Black Beauty?,Because he saved them from falling into the river.
Why did they have to take another road for the second time?,Because the bridge was broken.
Why was Black Beauty pleased to be home?,Because he was safe and enjoyed food as he was tired. 
What did Gordon and his wife decide to do? ,They decided to visit some friends. 
How far was it to Gordon friends’ home? ,It was about sixty kilometers.
Who were pulling the carriage?,Black Beauty and Ginger.
Why did they often stop before reaching the town? ,They stopped to stay for the night and to feed and brush the horses.
What was the young rider doing?,He was smoking a cigarette.
what cause the fire?,The Young rider’s cigarette.
Why was Ginger coughing?,Because the air was filled with smoke.
What frightened Beauty and the horses even more?,Because the man carrying the lantern was worried.
What stopped Black Beauty from being frightened?,Because John came and spoke softly and was gentle with them.
Who saved Ginger and How? ,Black Beauty by calling out for her.
What happened to the building when the fire became bigger?,The building collapsed.
Who came to put out the fire? ,Some firefighters put it out after many hours.
Why do you think everyone was talking to John? ,Because he was amazing and saved the horses.
"In Gordon friend’s opinion, What is one of the hardest things in life?", To move horses when there is a fire
Who is Joe Green?,He is John’s new helper.
How old was Joe Green when he came to work?,He was fourteen years old.
What did Squire Gordon ask John?,asked him if he was sure he didn’t need someone older.
What did John say about Joe?,"He said that he was small, but he wanted to learn and was a hard worker."
How old was John when he started work?,He was fourteen also
What was the similar thing between John and Joe? ,They both started work at fourteen.
Why did Gordon look after John?,Because he had no family.
What did John want to do with Joe?,He wanted to look after him as Gordon did with him.
What did Joe learn in the following weeks?,"He learnt to sweep the floor, bring food and wash the carriages."
How did we know that Joe was a happy boy?,He was always singing.
What happened that stopped Joe from singing?,Mrs. Gordon became ill and he didn’t look after Beauty well.
